Date,Transect,NET,Impact,dt
2021-11-09 00:00,CN_SRI_MUM_02631022,0.349,1,+00h
2021-11-26 11:00,CN_SRI_MUM_02631022,0.443,1,+35h
2021-12-05 14:00,CN_SRI_MUM_02631022,-1.104,1,+38h
2021-12-10 08:00,CN_SRI_MUM_02631022,-0.626,1,+32h
2021-12-01 07:00,CN_SRI_MUM_02631022,-0.418,1,+31h
2021-11-29 23:00,CN_SRI_MUM_02631022,-0.116,1,+47h
2021-12-09 12:00,CN_SRI_MUM_02631022,0.173,1,+36h
2021-11-11 04:00,CN_SRI_MUM_02631022,-0.763,1,+28h
2021-11-18 16:00,CN_SRI_MUM_02631022,0.705,2,+40h
2021-11-15 09:00,CN_SRI_MUM_02631022,-0.759,1,+33h
2021-11-28 07:00,CN_SRI_MUM_02631022,-0.469,1,+31h
2021-11-15 13:00,CN_SRI_MUM_02631022,0.042,1,+37h
2021-11-22 20:00,CN_SRI_MUM_02631022,1.493,2,+44h
2021-11-11 18:00,CN_SRI_MUM_02631022,-0.784,1,+42h
2021-11-20 13:00,CN_SRI_MUM_02631022,-1.134,1,+37h
2021-11-16 08:00,CN_SRI_MUM_02631022,0.037,1,+32h
2021-11-12 05:00,CN_SRI_MUM_02631022,-0.995,1,+29h
2021-12-03 17:00,CN_SRI_MUM_02631022,1.638,2,+41h
2021-11-15 12:00,CN_SRI_MUM_02631022,-0.349,1,+36h
2021-11-13 15:00,CN_SRI_MUM_02631022,0.441,1,+39h
2021-11-10 17:00,CN_SRI_MUM_02631022,-0.972,1,+41h
2021-11-25 10:00,CN_SRI_MUM_02631022,0.405,1,+34h
2021-11-13 22:00,CN_SRI_MUM_02631022,-0.080,1,+46h
2021-11-11 12:00,CN_SRI_MUM_02631022,0.555,1,+36h
2021-11-11 11:00,CN_SRI_MUM_02631022,0.392,1,+35h
2021-11-26 16:00,CN_SRI_MUM_02631022,-0.606,1,+40h
2021-12-06 20:00,CN_SRI_MUM_02631022,1.885,2,+44h
2021-12-10 19:00,CN_SRI_MUM_02631022,-0.019,1,+43h
2021-11-09 05:00,CN_SRI_MUM_02631022,-1.035,1,+05h
2021-12-02 03:00,CN_SRI_MUM_02631022,0.596,1,+27h
2021-11-12 18:00,CN_SRI_MUM_02631022,-0.715,1,+42h
2021-12-02 18:00,CN_SRI_MUM_02631022,1.125,2,+42h
2021-12-10 09:00,CN_SRI_MUM_02631022,-0.149,1,+33h
2021-11-30 03:00,CN_SRI_MUM_02631022,0.834,2,+27h
2021-11-14 06:00,CN_SRI_MUM_02631022,-0.162,1,+30h
