Date,NET
2021-11-09 0:00,0.349
2021-11-26 11:00,0.443
2021-12-05 14:00,-1.104
2021-12-10 8:00,-0.626
2021-12-01 7:00,-0.418
2021-11-29 23:00,-0.116
2021-12-09 12:00,0.173
2021-11-11 4:00,-0.763
2021-11-18 16:00,0.705
2021-11-15 9:00,-0.759
2021-11-28 7:00,-0.469
2021-11-15 13:00,0.042
2021-11-22 20:00,1.493
2021-11-11 18:00,-0.784
2021-11-20 13:00,-1.134
2021-11-16 8:00,0.037
2021-11-12 5:00,-0.995
2021-12-03 17:00,1.638
2021-11-15 12:00,-0.349
2021-11-13 15:00,0.441
2021-11-10 17:00,-0.972
2021-11-25 10:00,0.405
2021-11-13 22:00,-0.08
2021-11-11 12:00,0.555
2021-11-11 11:00,0.392
2021-11-26 16:00,-0.606
2021-12-06 20:00,1.885
2021-12-10 19:00,-0.019
2021-11-09 5:00,-1.035
2021-12-02 3:00,0.596
2021-11-12 18:00,-0.715
2021-12-02 18:00,1.125
2021-12-10 9:00,-0.149
2021-11-30 3:00,0.834
2021-11-14 6:00,-0.162
2021-12-09 14:00,-0.709
2021-11-28 21:00,-0.195
2021-11-25 4:00,-0.761
2021-11-13 14:00,0.554
2021-11-25 17:00,-0.584
2021-11-24 0:00,0.392
2021-11-15 18:00,0.465
2021-11-10 12:00,0.171
2021-12-06 8:00,0.647
2021-12-09 15:00,-0.998
2021-11-26 10:00,0.423
2021-11-23 2:00,-0.58
2021-12-08 21:00,1.624
2021-12-08 2:00,-1.641
2021-12-01 8:00,-0.767
2021-12-09 16:00,-1.071
2021-11-11 20:00,-0.329
2021-11-28 12:00,0.412
2021-12-10 18:00,-0.405
2021-11-25 21:00,0.995
2021-11-29 19:00,-0.572
2021-11-20 7:00,0.481
2021-11-17 20:00,0.306
2021-11-14 22:00,-0.442
2021-11-24 19:00,0.5
2021-11-21 16:00,-0.27
2021-11-15 20:00,-0.254
2021-12-04 23:00,-0.641
2021-12-04 20:00,1.43
2021-11-28 15:00,0.167
2021-11-30 4:00,0.737
2021-11-28 18:00,-0.479
2021-12-07 15:00,-1.037
2021-11-23 5:00,-0.383
2021-12-09 7:00,-0.369
2021-11-10 20:00,0.492
2021-12-10 17:00,-0.588
2021-12-02 20:00,0.225
2021-11-29 15:00,0.421
2021-11-28 6:00,-0.389
2021-12-06 10:00,0.001
2021-11-18 20:00,0.858
2021-12-09 8:00,0.102
2021-11-30 7:00,-0.162
2021-12-10 22:00,1.227
2021-11-13 8:00,-0.735
2021-12-02 23:00,-1.01
2021-12-09 20:00,0.587
2021-11-27 6:00,-0.292
2021-11-23 13:00,-0.605
2021-12-01 5:00,0.25
2021-11-14 9:00,-0.79
2021-12-03 16:00,1.339
2021-11-22 12:00,-0.42
2021-11-27 23:00,1.087
2021-11-18 17:00,1.099
2021-11-24 16:00,-0.935
2021-11-20 1:00,-1.159
2021-12-01 16:00,1.136
2021-11-28 1:00,1.111
